final_price,game_name,game_url,img_url,release_date,reviews_summary
"₹1,079.00",Crusader Kings III,https://store.steampowered.com/app/730/CounterStrike_2/?snr=1_7_7_230_150_1,https://cdn.akamai.steamstatic.com/steam/apps/1158310/capsule_sm_120_alt_assets_4.jpg?t=1715685390,"1 Sep, 2020","Very Positive87% of the 8,057,144 user reviews for this game are positive."
₹479.00,Stardew Valley,https://store.steampowered.com/app/730/CounterStrike_2/?snr=1_7_7_230_150_1,https://cdn.akamai.steamstatic.com/steam/apps/413150/capsule_sm_120.jpg?t=1711128146,"26 Feb, 2016","Very Positive87% of the 8,057,144 user reviews for this game are positive."
"₹1,099.00",RimWorld,https://store.steampowered.com/app/730/CounterStrike_2/?snr=1_7_7_230_150_1,https://cdn.akamai.steamstatic.com/steam/apps/294100/capsule_sm_120.jpg?t=1712954312,"17 Oct, 2018","Very Positive87% of the 8,057,144 user reviews for this game are positive."
₹809.00,Hearts of Iron IV,https://store.steampowered.com/app/730/CounterStrike_2/?snr=1_7_7_230_150_1,https://cdn.akamai.steamstatic.com/steam/apps/394360/capsule_sm_120.jpg?t=1715685474,"9 Apr, 2024","Very Positive87% of the 8,057,144 user reviews for this game are positive."
"₹1,100.00",Abiotic Factor,https://store.steampowered.com/app/730/CounterStrike_2/?snr=1_7_7_230_150_1,https://cdn.akamai.steamstatic.com/steam/apps/427410/capsule_sm_120.jpg?t=1714694871,"2 May, 2024","Very Positive87% of the 8,057,144 user reviews for this game are positive."
"₹4,499.00",Total War: WARHAMMER III,https://store.steampowered.com/app/730/CounterStrike_2/?snr=1_7_7_230_150_1,https://cdn.akamai.steamstatic.com/steam/apps/1142710/capsule_sm_120.jpg?t=1714661257,"16 Feb, 2022","Very Positive87% of the 8,057,144 user reviews for this game are positive."
₹425.00,The Witcher® 3: Wild Hunt,https://store.steampowered.com/app/730/CounterStrike_2/?snr=1_7_7_230_150_1,https://cdn.akamai.steamstatic.com/steam/apps/292030/capsule_sm_120.jpg?t=1710411171,"18 May, 2015","Very Positive87% of the 8,057,144 user reviews for this game are positive."
"₹5,599.00",Diablo® IV,https://store.steampowered.com/app/730/CounterStrike_2/?snr=1_7_7_230_150_1,https://cdn.akamai.steamstatic.com/steam/apps/2344520/capsule_sm_120.jpg?t=1715714373,"17 Oct, 2023","Very Positive87% of the 8,057,144 user reviews for this game are positive."
Free,The Sims™ 4,https://store.steampowered.com/app/730/CounterStrike_2/?snr=1_7_7_230_150_1,https://cdn.akamai.steamstatic.com/steam/apps/1222670/capsule_sm_120.jpg?t=1713460079,"18 Jun, 2020","Very Positive87% of the 8,057,144 user reviews for this game are positive."
₹610.00,Supermarket Simulator,https://store.steampowered.com/app/730/CounterStrike_2/?snr=1_7_7_230_150_1,https://cdn.akamai.steamstatic.com/steam/apps/2670630/capsule_sm_120.jpg?t=1714597145,"20 Feb, 2024","Very Positive87% of the 8,057,144 user reviews for this game are positive."
₹659.00,Europa Universalis IV,https://store.steampowered.com/app/730/CounterStrike_2/?snr=1_7_7_230_150_1,https://cdn.akamai.steamstatic.com/steam/apps/236850/capsule_sm_120.jpg?t=1715184174,"13 Aug, 2013","Very Positive87% of the 8,057,144 user reviews for this game are positive."
₹449.00,Assassin's Creed® Odyssey,https://store.steampowered.com/app/730/CounterStrike_2/?snr=1_7_7_230_150_1,https://cdn.akamai.steamstatic.com/steam/apps/812140/capsule_sm_120.jpg?t=1692034673,"5 Oct, 2018","Very Positive87% of the 8,057,144 user reviews for this game are positive."
Free,Yu-Gi-Oh! Master Duel,https://store.steampowered.com/app/730/CounterStrike_2/?snr=1_7_7_230_150_1,https://cdn.akamai.steamstatic.com/steam/apps/1449850/capsule_sm_120.jpg?t=1715145592,"18 Jan, 2022","Very Positive87% of the 8,057,144 user reviews for this game are positive."
"₹2,039.00",Football Manager 2024,https://store.steampowered.com/app/730/CounterStrike_2/?snr=1_7_7_230_150_1,https://cdn.akamai.steamstatic.com/steam/apps/2252570/capsule_sm_120.jpg?t=1702984758,"6 Nov, 2023","Very Positive87% of the 8,057,144 user reviews for this game are positive."
,Steam Deck,https://store.steampowered.com/app/730/CounterStrike_2/?snr=1_7_7_230_150_1,https://cdn.akamai.steamstatic.com/steam/apps/1675200/capsule_sm_120.jpg?t=1699990406,,"Very Positive87% of the 8,057,144 user reviews for this game are positive."
₹480.00,Lethal Company,https://store.steampowered.com/app/730/CounterStrike_2/?snr=1_7_7_230_150_1,https://cdn.akamai.steamstatic.com/steam/apps/1966720/capsule_sm_120.jpg?t=1700231592,"23 Oct, 2023","Very Positive87% of the 8,057,144 user reviews for this game are positive."
₹36.00,Killing Floor 2,https://store.steampowered.com/app/730/CounterStrike_2/?snr=1_7_7_230_150_1,https://cdn.akamai.steamstatic.com/steam/apps/232090/capsule_sm_120.jpg?t=1712103749,"18 Nov, 2016","Very Positive87% of the 8,057,144 user reviews for this game are positive."
